区域,卧室数,客厅数,房屋面积,楼层高低,是否是地铁房,是否是学区房
海淀,2,1,61.2,高,1,1
东城,1,1,65.5,中,1,0
朝阳,1,1,65.6,中,1,1
东城,4,2,253.8,低,1,1
石景山,2,1,74.1,低,0,0
朝阳,3,2,139.3,中,1,0
石景山,3,1,105.3,中,0,0
朝阳,4,1,186.5,高,1,1
海淀,2,1,42.8,高,1,0
西城,2,2,112.5,中,1,0
东城,3,2,145.4,高,1,0
东城,2,1,55.7,低,1,1
东城,2,2,132.5,低,1,1
海淀,2,2,102.5,中,1,0
丰台,1,1,68.7,低,1,0
海淀,3,2,158.9,中,1,1
丰台,2,2,99.2,中,0,0
西城,3,1,84.8,低,1,1
海淀,3,1,80.4,中,1,0
西城,3,1,80.2,中,0,0
东城,2,1,133.4,高,1,0
西城,2,1,59.9,中,1,1
东城,1,0,68.3,高,1,0
海淀,2,1,102.6,中,1,0
东城,2,1,57,中,1,0
东城,3,1,157,低,1,1
西城,2,1,78.3,高,1,1
石景山,2,1,57.7,中,0,0
西城,2,1,95.6,中,1,0
朝阳,2,2,83.9,低,1,0
东城,2,1,110.5,低,1,0
东城,2,1,128.8,中,1,1
海淀,2,1,58.1,中,0,1
西城,2,1,71,低,1,1
东城,2,1,59.9,中,1,0
海淀,3,1,85.4,高,1,0
东城,2,1,62.9,高,1,1
朝阳,3,2,165.7,中,1,0
西城,2,1,53.5,低,1,0
石景山,3,1,67.4,高,1,0
东城,2,2,146.8,中,1,0
海淀,2,1,53.7,中,1,1
东城,1,0,39,中,1,0
西城,2,1,62.8,高,1,0
朝阳,3,1,148,中,1,0
西城,3,1,71.9,中,1,0
朝阳,2,1,83.5,高,1,0
丰台,3,2,144.4,中,1,0
东城,4,2,255.2,高,1,0
朝阳,3,2,151.1,低,0,0
石景山,2,1,73.8,高,1,0
东城,2,1,76.7,中,1,0
东城,3,0,83.5,高,1,0
丰台,1,1,38.5,高,1,0
西城,3,2,149.6,中,1,0
西城,2,1,47.7,低,1,1
海淀,2,1,137.2,低,0,0
朝阳,2,1,57.3,高,1,0
朝阳,2,1,81.8,低,0,0
朝阳,4,2,263,中,1,0
海淀,1,1,47.1,高,1,1
朝阳,2,1,87.5,中,0,0
东城,3,2,123.3,中,1,0
东城,1,1,37,高,1,1
丰台,3,2,104.2,高,1,0
海淀,2,1,48.6,高,1,0
丰台,2,2,86.6,低,1,0
丰台,3,2,126.1,低,1,0
丰台,2,2,116.4,中,1,0
石景山,3,1,106.4,低,1,0
东城,2,1,91.4,低,0,0
朝阳,2,1,100.6,高,1,1
丰台,3,1,123.7,中,1,0
西城,2,1,74.4,高,0,1
丰台,3,1,69.6,中,1,0
西城,3,2,145.1,中,0,0
丰台,2,1,69.4,低,1,0
东城,3,2,105.6,高,1,1
丰台,2,2,101.3,高,1,0
石景山,3,2,92.9,低,0,0
朝阳,3,2,145.9,低,1,0
西城,2,1,66.6,低,1,0
朝阳,2,1,86.2,高,1,0
东城,3,2,160.8,高,1,1
东城,3,2,156.9,低,1,0
西城,1,1,42.7,中,1,0
东城,1,1,56.9,中,1,0
海淀,2,1,51.8,高,1,0
海淀,2,1,53.5,高,1,1
丰台,2,1,93.8,中,0,0
丰台,2,1,58.1,低,0,0
朝阳,4,2,190,低,1,0
海淀,1,1,45,低,1,0
朝阳,2,1,60.1,高,1,0
丰台,3,1,96.9,高,1,0
丰台,2,2,86.4,中,0,0
丰台,1,1,41.4,中,1,0
丰台,1,1,55.2,中,1,0
石景山,2,1,58.1,中,0,0
海淀,2,1,83,高,0,0
海淀,1,1,89.8,中,1,1
海淀,3,2,138.2,低,1,0
丰台,2,2,100.7,低,1,0
东城,2,1,72,中,1,1
朝阳,3,2,140,高,1,0
西城,2,1,61.6,中,1,1
海淀,2,1,69.7,中,1,1
西城,2,1,58,中,1,1
朝阳,3,1,141.8,高,1,0
丰台,2,1,54.8,高,1,0
丰台,2,1,65.6,中,1,0
朝阳,3,1,81.3,中,1,0
东城,5,2,211.2,低,1,1
海淀,1,1,67.9,高,0,0
丰台,3,1,103.5,低,1,0
东城,2,1,84.7,中,1,1
东城,2,1,79,中,0,0
海淀,2,1,90.1,低,1,0
丰台,3,2,200.8,低,1,0
朝阳,3,1,75.3,高,0,0
东城,1,1,47.1,中,1,0
丰台,2,1,96.2,中,1,0
石景山,2,1,49,中,1,0
西城,2,2,137.7,中,1,1
朝阳,2,1,58.8,低,1,1
朝阳,3,2,163.4,高,1,0
东城,3,2,175.8,中,1,0
东城,3,1,64.3,中,1,0
朝阳,3,2,144.7,中,1,1
西城,1,1,45.8,低,1,1
石景山,3,1,75.8,中,1,0
西城,5,2,232.3,高,1,1
石景山,2,1,94.7,低,0,0
丰台,1,1,60.2,中,1,0
朝阳,3,2,181.4,低,1,0
东城,1,1,59.4,中,1,1
西城,5,0,122,低,1,0
石景山,1,0,55.1,中,1,0
丰台,1,1,48.8,低,1,0
丰台,2,1,66.8,低,1,0
朝阳,2,1,104,低,1,1
东城,3,1,73.3,低,1,0
石景山,2,2,141,低,0,0
东城,3,1,166.1,低,1,0
海淀,3,2,112.4,低,1,0
海淀,1,1,64.3,高,1,0
西城,1,1,50.5,低,1,1
丰台,1,0,44.8,中,1,0
西城,2,1,57,高,1,1
东城,2,1,64.8,中,1,1
东城,2,2,79.2,高,1,1
东城,2,1,60.2,中,1,0
海淀,2,2,118.2,高,0,1
西城,2,2,115.5,中,0,1
西城,2,1,58,中,1,1
丰台,2,2,97.3,高,1,0
西城,2,2,117.6,低,1,0
朝阳,2,2,124.1,低,1,0
海淀,1,1,42.7,中,1,1
朝阳,4,2,206.8,低,1,0
朝阳,1,1,38.9,中,1,0
西城,2,1,57.9,中,1,0
东城,2,2,150.4,低,1,0
朝阳,2,2,119.4,低,1,0
丰台,3,2,156,低,1,0
朝阳,2,2,80.7,中,1,0
东城,4,1,112.3,中,1,0
石景山,2,1,75.2,高,1,0
丰台,3,2,121.6,高,1,0
西城,4,2,226.3,中,1,0
丰台,2,1,103.1,中,1,0
朝阳,1,1,49.4,中,1,0
丰台,2,1,98.5,中,0,0
丰台,2,2,83.1,中,0,0
朝阳,2,1,92.3,中,1,0
东城,1,1,40.8,高,1,1
西城,1,1,60.1,高,1,0
海淀,3,1,73.6,中,1,1
西城,2,1,78.8,高,0,0
西城,3,0,57.1,高,1,0
西城,3,2,184.1,中,1,1
东城,3,1,67.8,低,1,1
海淀,2,1,59.1,低,0,1
石景山,1,1,40.8,高,0,0
西城,1,1,64.8,中,1,1
丰台,2,1,81.6,高,1,0
东城,1,1,77.6,高,1,1
朝阳,2,2,104.6,低,1,0
海淀,2,1,95.5,低,0,0
石景山,3,2,148.5,中,1,0
东城,2,1,58.1,高,1,1
西城,3,2,134.8,低,1,1
西城,2,1,64.1,低,1,0
朝阳,3,2,117.5,低,0,0
朝阳,2,2,91,低,0,0
朝阳,2,1,80.9,中,1,0
西城,2,1,82.1,高,1,0
朝阳,1,1,72.4,中,1,0
朝阳,3,2,138.5,高,1,0
石景山,2,1,64.5,高,1,0
海淀,3,2,95.7,中,1,0
西城,2,1,53.1,中,1,0
海淀,2,1,81.4,中,1,1
丰台,1,1,45.5,高,1,0
东城,3,1,69.3,中,1,0
朝阳,5,2,195.7,高,1,1
西城,2,1,52.8,中,1,1
朝阳,1,1,56.7,高,1,0
海淀,3,1,80,中,1,1
朝阳,2,2,100.7,中,0,0
石景山,3,2,99,高,1,0
朝阳,2,2,105.3,中,1,0
西城,3,2,93.3,低,1,0
西城,4,1,245.4,中,1,0
西城,2,1,57.9,高,1,0
丰台,2,1,93.6,高,1,0
西城,3,1,97.6,高,1,1
丰台,1,0,43.8,中,1,0
东城,3,1,64.7,高,1,1
朝阳,2,1,62.6,中,1,0
丰台,1,1,37.8,中,1,0
东城,2,1,57.9,中,0,0
朝阳,2,2,115.9,低,1,0
朝阳,1,0,50.7,中,1,0
海淀,3,1,156.8,中,1,0
朝阳,3,1,77,中,1,0
朝阳,3,2,154.7,低,1,1
丰台,2,2,77.2,高,1,0
朝阳,3,2,96.4,低,1,1
海淀,2,0,64.4,低,1,0
石景山,1,1,43.6,低,1,0
石景山,2,2,87.2,中,1,0
西城,3,1,79.7,高,1,1
石景山,2,2,85.2,低,1,0
海淀,2,2,87.2,中,1,0
石景山,2,1,63.9,高,1,0
西城,2,1,74.4,低,1,0
朝阳,3,2,167.8,低,1,0
丰台,2,1,82.9,低,1,0
石景山,2,1,46.6,低,1,0
朝阳,2,1,78.2,高,1,0
朝阳,2,1,96.8,中,0,0
西城,2,1,94.8,低,1,0
丰台,3,1,112,高,0,0
东城,2,1,60.2,中,1,1
丰台,1,1,63.9,低,1,0
丰台,3,2,88.6,低,1,0
丰台,2,2,100.3,中,1,0
石景山,2,2,93.1,低,1,0
西城,2,2,100,低,1,0
朝阳,2,1,125.3,高,1,0
东城,2,1,96,中,1,1
东城,3,1,61.9,高,1,0
西城,2,1,59.7,中,1,1
东城,1,1,51.3,低,1,0
朝阳,4,2,163.5,中,0,1
海淀,2,1,70.3,高,1,0
海淀,2,1,65.9,中,1,0
朝阳,3,2,170.2,高,1,0
东城,2,1,80.1,高,1,1
海淀,2,1,54.7,中,1,0
东城,2,2,151.7,中,1,0
丰台,2,1,55.5,高,0,0
朝阳,3,2,140.2,低,1,0
朝阳,2,1,94.1,低,1,0
朝阳,4,3,258,低,1,1
海淀,2,1,62.4,高,1,1
海淀,3,2,228.1,中,1,0
石景山,2,1,78.9,高,0,0
丰台,2,1,107.4,低,0,0
石景山,2,1,57.2,低,1,0
丰台,2,1,56.7,低,1,0
西城,3,1,85.8,高,1,1
西城,3,0,63,高,1,1
西城,1,0,29.7,低,1,0
海淀,4,2,133.1,高,0,0
朝阳,3,2,161.8,中,1,0
东城,2,1,60,中,1,0
丰台,2,1,64.1,中,1,0
海淀,1,1,40.2,高,1,0
西城,1,1,49.1,高,1,0
石景山,1,1,40,高,1,0
丰台,2,1,59.1,低,1,0
朝阳,1,1,58.8,中,1,1
丰台,2,1,59.8,中,1,0
丰台,3,1,109,低,1,0
朝阳,2,1,113.5,高,1,0
海淀,1,0,51,低,0,0
西城,2,1,83.1,低,0,0
朝阳,3,1,75.3,中,1,0
西城,2,1,63.5,低,1,0
丰台,3,1,101.7,低,1,0
东城,1,1,36.8,高,1,1
石景山,2,1,80.6,高,1,0
朝阳,2,2,172.4,高,1,1
东城,3,2,147.1,中,1,0
朝阳,2,1,78.8,高,0,0
丰台,2,1,67.1,低,1,0
海淀,1,1,53.2,中,1,0
石景山,3,1,79.1,低,0,0
丰台,2,1,57.9,高,1,0
朝阳,2,1,49.8,低,1,0
丰台,2,1,86.1,低,0,0
朝阳,4,2,200.2,低,0,0
西城,2,1,61.6,中,1,0
西城,2,1,60.1,高,1,1
石景山,2,1,91.3,高,1,0
西城,1,0,33.1,低,0,0
石景山,2,2,133.9,高,1,0
东城,1,1,59.9,高,1,0
朝阳,1,1,55.2,低,1,0
海淀,3,1,71.6,中,1,1
东城,2,1,64.4,低,0,0
朝阳,3,2,183,中,0,0
石景山,3,2,142.3,高,1,0
海淀,2,2,132.8,高,1,1
西城,2,1,75.8,高,1,0
西城,3,2,182.7,低,1,0
朝阳,3,1,68.3,中,1,0
东城,4,0,59,低,1,0
朝阳,2,2,135.6,低,1,1
西城,3,1,122.4,中,0,1
丰台,1,1,50.2,高,1,0
东城,2,1,90.7,中,0,0
西城,2,1,80.2,高,1,0
东城,1,1,78.7,高,1,0
海淀,1,1,44.6,高,1,0
石景山,2,1,56.9,高,1,0
海淀,3,2,124.1,高,0,0
朝阳,3,2,161.9,中,1,0
石景山,2,1,77.4,低,1,0
东城,2,1,81.8,低,1,0
石景山,1,1,71.4,低,0,0
丰台,1,1,47.6,中,1,0
朝阳,1,2,74.9,中,1,0
西城,3,1,117.4,高,0,0
海淀,1,1,59,低,0,0
石景山,2,1,54.4,中,1,0
东城,1,1,60.9,低,1,1
西城,2,1,58,高,1,0
海淀,2,2,108.1,中,1,0
东城,3,1,72.7,低,1,0
石景山,3,2,126.8,低,0,0
海淀,2,1,59.6,高,0,0
丰台,2,2,135.1,高,1,0
西城,1,1,47,高,1,1
石景山,1,1,52.5,中,0,0
东城,1,2,75,中,1,0
丰台,3,1,103.5,高,1,0
朝阳,3,2,145.8,高,1,0
石景山,1,1,53,中,1,0
东城,3,2,192.8,中,1,0
海淀,2,1,68.3,中,1,1
海淀,1,1,40.6,中,1,1
东城,1,1,76.6,高,1,0
朝阳,2,1,57.4,低,1,0
朝阳,3,1,127.4,低,1,0
朝阳,3,1,151.4,中,1,1
石景山,2,1,74.2,中,1,0
丰台,2,1,91.4,低,1,0
东城,2,1,68.6,中,1,0
东城,1,0,93.6,低,1,0
东城,2,2,75.6,高,1,1
丰台,1,1,60.7,高,1,1
朝阳,3,2,170.3,中,1,0
海淀,2,1,81.1,中,1,1
海淀,2,1,112.6,中,1,1
海淀,1,1,59.3,高,1,1
丰台,2,1,64.4,中,1,0
东城,3,1,102.6,高,1,0
朝阳,3,1,107.1,中,1,0
东城,2,1,61.1,中,1,1
丰台,4,2,258.9,中,1,1
海淀,1,1,46.1,低,1,0
丰台,2,1,93.7,低,1,0
海淀,1,1,43.9,中,1,0
东城,1,1,52.5,中,1,1
西城,2,2,93.3,高,1,0
西城,2,1,53.5,中,0,1
海淀,3,1,83.9,低,1,1
朝阳,1,1,58.1,高,0,0
朝阳,1,1,38.5,高,1,1
丰台,2,1,68,低,1,0
东城,3,1,114.5,低,1,0
东城,2,1,58.3,高,1,0
西城,3,1,67.5,高,0,1
石景山,1,1,54.7,高,0,0
西城,3,1,84.4,高,1,1
西城,1,1,53.1,高,1,1
丰台,2,1,72.3,中,1,0
东城,2,2,192.6,低,1,0
石景山,4,1,264.1,中,0,0
